company,ticker,sector,region,country,year,E,S,G,ESG_total,market_cap_usd,E_emissions,E_energy,S_diversity,G_board
Costco Wholesale Corporation,C001,Consumer Defensive,North America,Canada,2021,59.64,52.82,61.71,58.06,8.15,64.51,58.92,48.12,63.6
"PepsiCo, Inc.",C002,Consumer Defensive,Latin America,Argentina,2021,47.28,71.74,67.93,62.32,8.33,45.73,42.26,65.25,68.31
Mastercard Incorporated,C003,Financial Services,Latin America,Argentina,2021,35.02,60.95,71.22,55.73,8.99,28.72,37.92,60.89,74.0
Johnson & Johnson,C004,Healthcare,Middle East & Africa,South Africa,2021,59.91,67.08,59.13,62.04,7.44,59.78,59.05,61.37,59.08
Chevron Corporation,C005,Energy,Latin America,Chile,2021,49.03,41.76,60.18,50.33,1.54,45.86,39.46,43.28,59.49
The Procter & Gamble Company,C006,Consumer Defensive,Asia-Pacific,India,2021,71.25,78.14,71.19,73.53,2.01,59.14,67.91,70.49,85.28
Costco Wholesale Corporation,C007,Consumer Defensive,Latin America,Argentina,2021,52.31,43.37,55.1,50.26,3.84,52.0,54.34,39.66,61.69
Exxon Mobil Corporation,C008,Energy,North America,Canada,2021,48.93,61.92,52.37,54.41,5.2,57.77,48.62,62.65,55.2
NVIDIA Corporation,C009,Technology,Asia-Pacific,China,2021,55.28,52.71,44.82,50.94,5.42,53.73,58.36,55.86,43.03
UnitedHealth Group Incorporated,C010,Healthcare,Europe,France,2021,53.88,73.13,71.99,66.33,16.22,40.4,56.29,71.07,75.28
Johnson & Johnson,C011,Healthcare,Middle East & Africa,United Arab Emirates,2021,55.93,75.59,48.2,59.91,1.04,53.89,67.76,75.46,43.63
Johnson & Johnson,C012,Healthcare,Middle East & Africa,United Arab Emirates,2021,45.92,70.27,67.95,61.38,13.09,38.57,45.88,77.71,71.82
Visa Inc.,C013,Financial Services,Asia-Pacific,Australia,2021,63.58,84.93,50.84,66.45,37.12,63.23,65.06,85.1,42.3
The Procter & Gamble Company,C014,Consumer Defensive,Europe,France,2021,52.57,47.98,32.98,44.51,0.51,61.22,58.43,55.11,34.95
Broadcom Inc.,C015,Technology,North America,United States,2021,63.59,32.73,50.18,48.83,14.41,57.31,70.72,26.57,53.97
Chevron Corporation,C016,Energy,Middle East & Africa,South Africa,2021,37.82,38.85,60.48,45.71,3.38,41.05,33.33,32.64,51.07
Visa Inc.,C017,Financial Services,Asia-Pacific,Japan,2021,49.69,36.24,55.01,46.98,5.07,48.69,57.51,35.52,59.64
"Amazon.com, Inc.",C018,Consumer Cyclical,Middle East & Africa,Saudi Arabia,2021,70.78,54.2,61.9,62.3,1.78,75.71,69.16,50.13,67.36
